rank,number,score_percentile,selected_ranker,selection_posterior_top1,selection_posterior_top3,selection_posterior_top5,selection_top3_positive_year_fraction,selection_top3_year_std,historical_best_prefix_digit,historical_best_3digit,historical_best_3digit_count,historical_best_3digit_hit_draws,historical_best_3digit_position_rate_pct
54,35,0.4747474789619446,w1y_s300,0.2407596260339045,0.2406105502629609,0.2398367520550634,0.75,0.015921790643716224,3,335,181,179,0.10442629003969353
55,47,0.4747474789619446,w1y_s300,0.2407596260339045,0.2406105502629609,0.2398367520550634,0.75,0.015921790643716224,8,847,202,199,0.11654204744761378
56,02,0.4343434274196625,w1y_s300,0.2407596260339045,0.2406105502629609,0.2398367520550634,0.75,0.015921790643716224,2,202,197,195,0.11365734330287086
57,23,0.4343434274196625,w1y_s300,0.2407596260339045,0.2406105502629609,0.2398367520550634,0.75,0.015921790643716224,7,723,181,178,0.10442629003969353
58,75,0.4343434274196625,w1y_s300,0.2407596260339045,0.2406105502629609,0.2398367520550634,0.75,0.015921790643716224,3,375,206,202,0.1188498107634081
59,03,0.3787878751754761,w1y_s300,0.2407596260339045,0.2406105502629609,0.2398367520550634,0.75,0.015921790643716224,4,403,193,193,0.11134957998707652
60,08,0.3787878751754761,w1y_s300,0.2407596260339045,0.2406105502629609,0.2398367520550634,0.75,0.015921790643716224,2,208,201,200,0.11596510661866519
61,10,0.3787878751754761,w1y_s300,0.2407596260339045,0.2406105502629609,0.2398367520550634,0.75,0.015921790643716224,9,910,209,208,0.12058063325025385
62,22,0.3787878751754761,w1y_s300,0.2407596260339045,0.2406105502629609,0.2398367520550634,0.75,0.015921790643716224,3,322,192,189,0.11077263915812795
63,30,0.3787878751754761,w1y_s300,0.2407596260339045,0.2406105502629609,0.2398367520550634,0.75,0.015921790643716224,4,430,183,180,0.1055801716975907
64,48,0.3787878751754761,w1y_s300,0.2407596260339045,0.2406105502629609,0.2398367520550634,0.75,0.015921790643716224,2,248,190,188,0.10961875750023077
65,72,0.3787878751754761,w1y_s300,0.2407596260339045,0.2406105502629609,0.2398367520550634,0.75,0.015921790643716224,5,572,199,196,0.11481122496076802
66,76,0.3787878751754761,w1y_s300,0.2407596260339045,0.2406105502629609,0.2398367520550634,0.75,0.015921790643716224,1,176,186,183,0.10731099418443645
67,44,0.32828283309936523,w1y_s300,0.2407596260339045,0.2406105502629609,0.2398367520550634,0.75,0.015921790643716224,3,344,223,218,0.12865780485553402
68,79,0.32828283309936523,w1y_s300,0.2407596260339045,0.2406105502629609,0.2398367520550634,0.75,0.015921790643716224,7,779,195,192,0.11250346164497368
69,93,0.31313130259513855,w1y_s300,0.2407596260339045,0.2406105502629609,0.2398367520550634,0.75,0.015921790643716224,9,993,186,184,0.10731099418443645
70,11,0.28282827138900757,w1y_s300,0.2407596260339045,0.2406105502629609,0.2398367520550634,0.75,0.015921790643716224,1,111,202,201,0.11654204744761378
71,40,0.28282827138900757,w1y_s300,0.2407596260339045,0.2406105502629609,0.2398367520550634,0.75,0.015921790643716224,1,140,190,188,0.10961875750023077
72,70,0.28282827138900757,w1y_s300,0.2407596260339045,0.2406105502629609,0.2398367520550634,0.75,0.015921790643716224,3,370,194,194,0.11192652081602511
73,82,0.28282827138900757,w1y_s300,0.2407596260339045,0.2406105502629609,0.2398367520550634,0.75,0.015921790643716224,8,882,196,191,0.11308040247392227
74,86,0.28282827138900757,w1y_s300,0.2407596260339045,0.2406105502629609,0.2398367520550634,0.75,0.015921790643716224,1,186,193,191,0.11134957998707652
75,07,0.2222222238779068,w1y_s300,0.2407596260339045,0.2406105502629609,0.2398367520550634,0.75,0.015921790643716224,4,407,191,189,0.11019569832917936
76,19,0.2222222238779068,w1y_s300,0.2407596260339045,0.2406105502629609,0.2398367520550634,0.75,0.015921790643716224,8,819,195,195,0.11250346164497368
77,41,0.2222222238779068,w1y_s300,0.2407596260339045,0.2406105502629609,0.2398367520550634,0.75,0.015921790643716224,8,841,207,205,0.11942675159235669
