number,probability,raw_model_probability,hit_rate_7,hit_rate_30,hit_rate_90,position_rate_30,bayes_long_rate,bayes_weekday_rate,gap_norm,prev_hit,historical_best_prefix_digit,historical_best_3digit,historical_best_3digit_count,historical_best_3digit_hit_draws,historical_best_3digit_position_rate_pct
60,0.23765728565289646,0.23788066558202442,0.14285714285714285,0.23333333333333334,0.28888888888888886,0.011111111111111112,0.2415602101143615,0.22772820848425346,0.06666666666666667,0.0,3,360,199,195,0.11500962266440885
61,0.23765728565289646,0.23793843800327472,0.2857142857142857,0.36666666666666664,0.26666666666666666,0.014814814814814815,0.2550851467162212,0.2871876679437129,0.0,1.0,2,261,195,193,0.11269787145507401
62,0.23765728565289646,0.23794566023440256,0.2857142857142857,0.3,0.2111111111111111,0.012345679012345678,0.2567757637914536,0.2709714517274967,0.03333333333333333,0.0,6,662,212,204,0.12252281409474712
63,0.23765728565289646,0.23791677221450985,0.42857142857142855,0.36666666666666664,0.2777777777777778,0.014814814814814815,0.25001329549052376,0.24394442470046968,0.0,1.0,7,763,192,188,0.11096405804807287
64,0.23765728565289646,0.23785178299001886,0.42857142857142855,0.23333333333333334,0.2111111111111111,0.008641975308641976,0.23479774181343163,0.2601606409166859,0.03333333333333333,0.0,9,964,199,198,0.11500962266440885
65,0.23765728565289646,0.23785539318208734,0.0,0.16666666666666666,0.2222222222222222,0.007407407407407408,0.23564305035104788,0.22232280307884805,0.6,0.0,3,365,187,182,0.1080743690364043
66,0.23765728565289646,0.2379059398289817,0.14285714285714285,0.2,0.2222222222222222,0.008641975308641976,0.2474773698776751,0.21691739767344265,0.0,1.0,6,666,205,202,0.11847724947841114
67,0.23765728565289646,0.2378301226292135,0.14285714285714285,0.23333333333333334,0.23333333333333334,0.009876543209876543,0.22972589058773427,0.22232280307884805,0.2,0.0,8,867,184,182,0.10634055562940316
68,0.23765728565289646,0.2379023291091923,0.14285714285714285,0.23333333333333334,0.25555555555555554,0.009876543209876543,0.24663206134005886,0.2763768571329021,0.2,0.0,3,368,192,191,0.11096405804807287
69,0.23765728565289646,0.23793121592291602,0.5714285714285714,0.36666666666666664,0.2777777777777778,0.016049382716049384,0.2533945296409887,0.29799847875452373,0.03333333333333333,0.0,3,369,190,187,0.10980818244340544
70,0.23765728565289646,0.23778319650296648,0.14285714285714285,0.2,0.2111111111111111,0.008641975308641976,0.2187368795987233,0.23313361388965886,0.03333333333333333,0.0,3,370,193,193,0.11154199585040658
71,0.23765728565289646,0.23777597766438674,0.0,0.1,0.16666666666666666,0.003703703703703704,0.21704626252349082,0.2763768571329021,0.7,0.0,4,471,189,189,0.10923024464107173
72,0.23765728565289646,0.23788788660697122,0.42857142857142855,0.26666666666666666,0.2222222222222222,0.009876543209876543,0.24325082718959395,0.18989037064641562,0.03333333333333333,0.0,5,572,199,196,0.11500962266440885
73,0.23765728565289646,0.23788788660697122,0.2857142857142857,0.1,0.23333333333333334,0.003703703703703704,0.24325082718959395,0.2601606409166859,0.1,0.0,2,273,183,183,0.10576261782706944
74,0.23765728565289646,0.23782651270101468,0.0,0.16666666666666666,0.2111111111111111,0.007407407407407408,0.22888058205011805,0.23853901929506427,0.6,0.0,0,074,194,189,0.1121199336527403
75,0.23765728565289646,0.23793482694424917,0.0,0.26666666666666666,0.26666666666666666,0.011111111111111112,0.25423983817860496,0.2547552355112805,0.3333333333333333,0.0,3,375,206,202,0.11905518728074485
76,0.23765728565289646,0.23786622398446333,0.2857142857142857,0.16666666666666666,0.23333333333333334,0.006172839506172839,0.23817897596389656,0.21151199226803724,0.06666666666666667,0.0,1,176,186,183,0.10749643123407059
77,0.23765728565289646,0.23785900341185104,0.2857142857142857,0.23333333333333334,0.23333333333333334,0.011111111111111112,0.2364883588886641,0.24394442470046968,0.0,1.0,7,777,190,187,0.10980818244340544
78,0.23765728565289646,0.23787344470785482,0.2857142857142857,0.23333333333333334,0.23333333333333334,0.009876543209876543,0.23986959303912903,0.22772820848425346,0.0,1.0,8,878,195,195,0.11269787145507401
79,0.23765728565289646,0.23794204909999256,0.14285714285714285,0.13333333333333333,0.2111111111111111,0.0049382716049382715,0.2559304552538374,0.2601606409166859,0.2,0.0,7,779,195,192,0.11269787145507401
80,0.23765728565289646,0.23785900341185104,0.14285714285714285,0.2,0.28888888888888886,0.008641975308641976,0.2364883588886641,0.23313361388965886,0.03333333333333333,0.0,3,380,184,184,0.10634055562940316
81,0.23765728565289646,0.23792399399332742,0.42857142857142855,0.36666666666666664,0.2777777777777778,0.017283950617283952,0.25170391256575625,0.2547552355112805,0.0,1.0,1,181,187,185,0.1080743690364043
82,0.23765728565289646,0.23788066558202442,0.2857142857142857,0.3,0.18888888888888888,0.012345679012345678,0.2415602101143615,0.2655660463220913,0.1,0.0,8,882,196,191,0.11327580925740771
83,0.23765728565289646,0.23787705512609245,0.2857142857142857,0.3333333333333333,0.37777777777777777,0.013580246913580245,0.24071490157674524,0.2547552355112805,0.0,1.0,4,483,195,192,0.11269787145507401
84,0.23765728565289646,0.23782651270101468,0.14285714285714285,0.3,0.28888888888888886,0.012345679012345678,0.22888058205011805,0.23853901929506427,0.16666666666666666,0.0,4,484,196,194,0.11327580925740771
85,0.23765728565289646,0.2377579312276532,0.0,0.13333333333333333,0.2222222222222222,0.0049382716049382715,0.21281971983540968,0.20610658686263184,0.7,0.0,8,885,192,188,0.11096405804807287
86,0.23765728565289646,0.23788066558202442,0.2857142857142857,0.3,0.3,0.011111111111111112,0.2415602101143615,0.23313361388965886,0.13333333333333333,0.0,1,186,193,191,0.11154199585040658
87,0.23765728565289646,0.23781568314259585,0.42857142857142855,0.26666666666666666,0.23333333333333334,0.009876543209876543,0.22634465643726934,0.22232280307884805,0.0,1.0,8,887,193,191,0.11154199585040658
88,0.23765728565289646,0.23784817283564566,0.42857142857142855,0.3,0.2,0.013580246913580245,0.2339524332758154,0.2763768571329021,0.03333333333333333,0.0,2,288,203,200,0.11732137387374371
89,0.23765728565289646,0.23789149717598573,0.14285714285714285,0.16666666666666666,0.2111111111111111,0.008641975308641976,0.24409613572721017,0.21691739767344265,0.16666666666666666,0.0,4,489,188,182,0.10865230683873801
90,0.23765728565289646,0.23792399399332742,0.14285714285714285,0.3333333333333333,0.3111111111111111,0.014814814814814815,0.25170391256575625,0.30880928956533454,0.0,1.0,1,190,182,182,0.10518468002473574
91,0.23765728565289646,0.23794204909999256,0.14285714285714285,0.16666666666666666,0.23333333333333334,0.007407407407407408,0.2559304552538374,0.23853901929506427,0.13333333333333333,0.0,6,691,187,184,0.1080743690364043
92,0.23765728565289646,0.2379637164718304,0.2857142857142857,0.26666666666666666,0.3,0.009876543209876543,0.26100230647953476,0.2817822625383075,0.1,0.0,4,492,205,202,0.11847724947841114
93,0.23765728565289646,0.23781568314259585,0.2857142857142857,0.23333333333333334,0.18888888888888888,0.008641975308641976,0.22634465643726934,0.24394442470046968,0.16666666666666666,0.0,9,993,186,184,0.10749643123407059
94,0.23765728565289646,0.23790955058646457,0.14285714285714285,0.26666666666666666,0.2222222222222222,0.011111111111111112,0.24832267841529132,0.20070118145722643,0.1,0.0,1,194,198,197,0.11443168486207514
95,0.23765728565289646,0.2379059398289817,0.42857142857142855,0.4,0.32222222222222224,0.017283950617283952,0.2474773698776751,0.23313361388965886,0.03333333333333333,0.0,2,295,196,196,0.11327580925740771
96,0.23765728565289646,0.23785900341185104,0.14285714285714285,0.13333333333333333,0.2,0.006172839506172839,0.2364883588886641,0.22232280307884805,0.13333333333333333,0.0,3,396,187,187,0.1080743690364043
97,0.23765728565289646,0.23792399399332742,0.2857142857142857,0.26666666666666666,0.2222222222222222,0.012345679012345678,0.25170391256575625,0.24394442470046968,0.1,0.0,6,697,191,188,0.11038612024573916
98,0.23765728565289646,0.2378409526399857,0.0,0.2,0.16666666666666666,0.009876543209876543,0.23226181620058295,0.23853901929506427,0.3333333333333333,0.0,7,798,195,194,0.11269787145507401
99,0.23765728565289646,0.23788788660697122,0.14285714285714285,0.13333333333333333,0.17777777777777778,0.0049382716049382715,0.24325082718959395,0.2547552355112805,0.2,0.0,5,599,186,184,0.10749643123407059
