number,draw_presence_3y,presence_rate_3y,occurrences_3y,occurrence_rate_per_prize,presence_rate_last_30,presence_rate_last_90,presence_rate_last_180,presence_rate_last_365,presence_rate_last_730,current_gap_draws,max_gap_draws_3y,longest_presence_streak_3y,special_hits_3y
77,256,0.2363804247460757,285,0.009746588693957114,0.23333333333333334,0.24444444444444444,0.2388888888888889,0.25205479452054796,0.24246575342465754,0,15,5,13
78,260,0.24007386888273316,293,0.010020177148524332,0.2,0.2222222222222222,0.2111111111111111,0.2273972602739726,0.2465753424657534,3,21,3,14
79,279,0.25761772853185594,314,0.010738346841763278,0.13333333333333333,0.2,0.23333333333333334,0.2219178082191781,0.2356164383561644,9,21,4,17
80,256,0.2363804247460757,292,0.00998597859170343,0.23333333333333334,0.28888888888888886,0.26666666666666666,0.24383561643835616,0.2356164383561644,1,29,4,15
81,274,0.2530009233610342,309,0.010567354057658766,0.3333333333333333,0.2777777777777778,0.2611111111111111,0.24383561643835616,0.25068493150684934,3,21,5,7
82,262,0.24192059095106186,302,0.010327964159912452,0.3,0.2,0.19444444444444445,0.22465753424657534,0.23013698630136986,0,26,4,10
83,262,0.24192059095106186,307,0.010498956944016962,0.4,0.3888888888888889,0.32222222222222224,0.3013698630136986,0.24794520547945206,0,17,5,12
84,245,0.22622345337026778,267,0.009131014671180876,0.26666666666666666,0.2777777777777778,0.2722222222222222,0.23835616438356164,0.22054794520547946,8,21,4,8
85,228,0.21052631578947367,264,0.00902841900071817,0.1,0.2222222222222222,0.20555555555555555,0.2054794520547945,0.2191780821917808,0,23,6,9
86,260,0.24007386888273316,295,0.010088574262166137,0.3,0.28888888888888886,0.22777777777777777,0.2219178082191781,0.24246575342465754,0,16,5,13
87,243,0.22437673130193905,275,0.009404603125748093,0.26666666666666666,0.23333333333333334,0.25,0.2547945205479452,0.22876712328767124,1,21,4,6
88,252,0.23268698060941828,278,0.0095071987962108,0.26666666666666666,0.18888888888888888,0.18888888888888888,0.2493150684931507,0.24383561643835616,4,20,5,14
89,266,0.24561403508771928,317,0.010840942512225985,0.23333333333333334,0.2222222222222222,0.2222222222222222,0.24383561643835616,0.23013698630136986,1,24,4,12
90,275,0.25392428439519854,305,0.010430559830375158,0.3,0.3111111111111111,0.2833333333333333,0.2410958904109589,0.24383561643835616,1,22,7,9
91,277,0.25577100646352724,319,0.010909339625867789,0.16666666666666666,0.23333333333333334,0.3388888888888889,0.29315068493150687,0.273972602739726,7,17,5,6
92,286,0.26408125577100644,330,0.011285523750897712,0.3,0.3,0.2833333333333333,0.28493150684931506,0.26575342465753427,0,17,7,14
93,243,0.22437673130193905,262,0.008960021887076366,0.2,0.18888888888888888,0.21666666666666667,0.23013698630136986,0.21780821917808219,8,19,3,9
94,270,0.24930747922437674,311,0.010635751171300572,0.23333333333333334,0.2111111111111111,0.25,0.25753424657534246,0.2547945205479452,6,16,3,16
95,269,0.24838411819021236,296,0.010122772818987038,0.3333333333333333,0.3111111111111111,0.29444444444444445,0.27671232876712326,0.25753424657534246,4,34,5,5
96,257,0.23730378578024008,293,0.010020177148524332,0.16666666666666666,0.2111111111111111,0.22777777777777777,0.2273972602739726,0.2232876712328767,2,23,9,12
97,274,0.2530009233610342,313,0.010704148284942375,0.26666666666666666,0.2111111111111111,0.25555555555555554,0.2465753424657534,0.24794520547945206,6,18,5,14
98,250,0.23084025854108955,290,0.009917581478061625,0.2,0.16666666666666666,0.2,0.19452054794520549,0.2232876712328767,13,20,5,7
99,263,0.24284395198522624,290,0.009917581478061625,0.16666666666666666,0.18888888888888888,0.2111111111111111,0.2054794520547945,0.2328767123287671,0,17,4,9
