number,draw_presence_2y,presence_rate_2y,occurrences_2y,occurrence_rate_per_prize,presence_prev_year,presence_rate_prev_year,presence_recent_year,presence_rate_recent_year,presence_rate_delta_recent_minus_prev,occurrences_prev_year,occurrences_recent_year,presence_last_30,presence_rate_last_30,presence_last_90,presence_rate_last_90,presence_last_180,presence_rate_last_180,current_gap_draws,max_gap_draws_2y,longest_presence_streak_2y,special_hits_2y,special_hits_prev_year,special_hits_recent_year
63,182,0.2520775623268698,203,0.010413460551964708,92,0.2548476454293629,90,0.24930747922437674,-0.005540166204986152,106,97,10,0.3333333333333333,24,0.26666666666666666,46,0.25555555555555554,0,13,3,8,4,4
64,176,0.24376731301939059,201,0.010310864881502001,86,0.23822714681440443,90,0.24930747922437674,0.011080332409972304,98,103,8,0.26666666666666666,18,0.2,46,0.25555555555555554,0,16,3,8,5,3
65,168,0.23268698060941828,196,0.010054375705345234,79,0.2188365650969529,89,0.24653739612188366,0.02770083102493076,94,102,7,0.23333333333333334,21,0.23333333333333334,42,0.23333333333333334,13,21,4,9,6,3
66,170,0.23545706371191136,197,0.010105673540576588,91,0.2520775623268698,79,0.2188365650969529,-0.033240997229916885,106,91,7,0.23333333333333334,20,0.2222222222222222,40,0.2222222222222222,5,15,4,4,2,2
67,168,0.23268698060941828,189,0.009695290858725761,87,0.2409972299168975,81,0.22437673130193905,-0.016620498614958457,100,89,8,0.26666666666666666,22,0.24444444444444444,38,0.2111111111111111,1,16,3,5,1,4
68,188,0.26038781163434904,213,0.01092643890427824,92,0.2548476454293629,96,0.2659279778393352,0.011080332409972304,104,109,9,0.3,24,0.26666666666666666,46,0.25555555555555554,1,19,5,15,8,7
69,186,0.25761772853185594,211,0.010823843233815533,86,0.23822714681440443,100,0.2770083102493075,0.038781163434903065,98,113,9,0.3,24,0.26666666666666666,46,0.25555555555555554,0,18,5,6,3,3
70,151,0.20914127423822715,169,0.008669334154098696,76,0.21052631578947367,75,0.2077562326869806,-0.002770083102493076,85,84,6,0.2,20,0.2222222222222222,35,0.19444444444444445,14,21,3,7,4,3
71,156,0.21606648199445982,184,0.009438801682568996,79,0.2188365650969529,77,0.21329639889196675,-0.005540166204986152,98,86,4,0.13333333333333333,16,0.17777777777777778,33,0.18333333333333332,16,30,4,5,2,3
72,171,0.23684210526315788,195,0.010003077870113881,90,0.24930747922437674,81,0.22437673130193905,-0.024930747922437685,106,89,6,0.2,18,0.2,42,0.23333333333333334,6,29,4,4,2,2
73,175,0.24238227146814403,191,0.009797886529188468,81,0.22437673130193905,94,0.26038781163434904,0.03601108033240999,88,103,2,0.06666666666666667,22,0.24444444444444444,49,0.2722222222222222,1,27,4,4,3,1
74,170,0.23545706371191136,197,0.010105673540576588,83,0.2299168975069252,87,0.2409972299168975,0.011080332409972304,95,102,6,0.2,21,0.23333333333333334,40,0.2222222222222222,13,18,3,5,3,2
75,190,0.2631578947368421,217,0.011131630245203653,102,0.28254847645429365,88,0.24376731301939059,-0.038781163434903065,115,102,10,0.3333333333333333,26,0.28888888888888886,43,0.2388888888888889,5,14,4,6,3,3
