number,draws,occurrences,draws_hit,full_rate,baseline,z_score,p_value_normal,bh_q_value,rate_30,rate_90,rate_365,rate_1095,current_gap_draws
39,7545,2024,1780,0.23591782637508282,0.23765728565289646,-0.35497126208918167,0.7226111206108992,0.9854326545942192,0.2,0.17777777777777778,0.2054794520547945,0.2356164383561644,1
40,7545,2033,1785,0.23658051689860835,0.23765728565289646,-0.21973608038026063,0.8260767032523523,0.9892136679403001,0.26666666666666666,0.24444444444444444,0.2219178082191781,0.2264840182648402,4
41,7545,2056,1814,0.24042412193505633,0.23765728565289646,0.5646279735314724,0.5723268342045057,0.9854326545942192,0.13333333333333333,0.18888888888888888,0.22465753424657534,0.2310502283105023,7
42,7545,1991,1781,0.23605036447978794,0.23765728565289646,-0.3279242257473941,0.7429689561494696,0.9854326545942192,0.23333333333333334,0.2111111111111111,0.2547945205479452,0.23926940639269406,4
43,7545,2093,1838,0.2436050364479788,0.23765728565289646,1.2137568457342844,0.22484058985127436,0.9532431747873397,0.3,0.2222222222222222,0.2219178082191781,0.23835616438356164,2
44,7545,2096,1827,0.24214711729622265,0.23765728565289646,0.9162394459746604,0.3595413204584168,0.9744730803222317,0.26666666666666666,0.2111111111111111,0.2328767123287671,0.24292237442922374,3
45,7545,1986,1742,0.23088137839628894,0.23765728565289646,-1.3827586430769636,0.1667388838614457,0.9309323458464773,0.16666666666666666,0.2,0.2410958904109589,0.2410958904109589,0
46,7545,1999,1779,0.23578528827037773,0.23765728565289646,-0.38201829843096363,0.702447791960936,0.9854326545942192,0.2,0.23333333333333334,0.2493150684931507,0.2319634703196347,3
47,7545,2018,1779,0.23578528827037773,0.23765728565289646,-0.38201829843096363,0.702447791960936,0.9854326545942192,0.2,0.25555555555555554,0.23835616438356164,0.2365296803652968,0
48,7545,2023,1790,0.23724320742213387,0.23765728565289646,-0.08450089867133959,0.9326581883620471,0.9892136679403001,0.23333333333333334,0.24444444444444444,0.2328767123287671,0.228310502283105,6
49,7545,2074,1835,0.24320742213386348,0.23765728565289646,1.132615736708933,0.2573756571925817,0.9532431747873397,0.3,0.2111111111111111,0.24383561643835616,0.2602739726027397,2
50,7545,1937,1713,0.22703777335984096,0.23765728565289646,-2.1671226969886965,0.030225499700759634,0.6148295262757764,0.36666666666666664,0.32222222222222224,0.2547945205479452,0.2420091324200913,2
51,7545,1907,1690,0.2239893969516236,0.23765728565289646,-2.789204532849727,0.0052837684370143885,0.43938753504464273,0.3,0.24444444444444444,0.2493150684931507,0.22922374429223744,5
52,7545,2124,1865,0.24718356527501656,0.23765728565289646,1.9440268269624479,0.05189221612188324,0.8174191596133732,0.3,0.32222222222222224,0.27945205479452057,0.26210045662100456,2
