number,draws,occurrences,draws_hit,full_rate,baseline,z_score,p_value_normal,bh_q_value,rate_30,rate_90,rate_365,rate_1095,current_gap_draws
845,7524,167,165,0.021929824561403508,0.022748762178548265,-0.47642354255121083,0.6337726656374918,0.9444399839638302,0.0,0.022222222222222223,0.019178082191780823,0.02009132420091324,43
846,7524,151,151,0.020069112174375334,0.022748762178548265,-1.55890793273912,0.11901817251870783,0.880188878066903,0.0,0.011111111111111112,0.01643835616438356,0.021004566210045664,40
847,7524,201,198,0.02631578947368421,0.022748762178548265,2.075146805748864,0.03797293090416808,0.7911027271701684,0.0,0.011111111111111112,0.021917808219178082,0.026484018264840183,51
848,7524,171,170,0.022594364699627858,0.022748762178548265,-0.08982197462695618,0.928428685545224,0.9786567493277555,0.0,0.011111111111111112,0.021917808219178082,0.031050228310502283,43
849,7524,166,166,0.022062732589048378,0.022748762178548265,-0.3991032289663599,0.6898171431586075,0.9444399839638302,0.06666666666666667,0.022222222222222223,0.021917808219178082,0.02009132420091324,5
850,7524,177,175,0.023258904837852205,0.022748762178548265,0.2967795932972965,0.7666347861238751,0.9488054283711327,0.06666666666666667,0.022222222222222223,0.019178082191780823,0.025570776255707764,8
851,7524,198,195,0.025917065390749602,0.022748762178548265,1.8431858649943131,0.06530187795208853,0.880188878066903,0.06666666666666667,0.044444444444444446,0.038356164383561646,0.025570776255707764,5
852,7524,187,186,0.024720893141945772,0.022748762178548265,1.1473030427306548,0.25125639691837554,0.9136596251577292,0.06666666666666667,0.05555555555555555,0.030136986301369864,0.021917808219178082,6
853,7524,189,189,0.025119617224880382,0.022748762178548265,1.3792639834852076,0.1678133768992307,0.902222456447477,0.03333333333333333,0.022222222222222223,0.019178082191780823,0.024657534246575342,6
854,7524,191,188,0.024986709197235512,0.022748762178548265,1.3019436699003566,0.1929356425598791,0.9058011387787752,0.03333333333333333,0.044444444444444446,0.03287671232876712,0.0319634703196347,16
855,7524,181,179,0.023790536948431685,0.022748762178548265,0.6060608476367002,0.5444743485521575,0.9371331300381368,0.03333333333333333,0.022222222222222223,0.0136986301369863,0.021917808219178082,2
856,7524,170,169,0.022461456671982988,0.022748762178548265,-0.16714228821180713,0.8672580928142433,0.9651471600730266,0.0,0.022222222222222223,0.0136986301369863,0.01643835616438356,31
857,7524,193,190,0.025252525252525252,0.022748762178548265,1.4565842970700584,0.14523116488103902,0.880188878066903,0.0,0.022222222222222223,0.030136986301369864,0.024657534246575342,53
858,7524,167,165,0.021929824561403508,0.022748762178548265,-0.47642354255121083,0.6337726656374918,0.9444399839638302,0.03333333333333333,0.03333333333333333,0.021917808219178082,0.023744292237442923,18
859,7524,189,188,0.024986709197235512,0.022748762178548265,1.3019436699003566,0.1929356425598791,0.9058011387787752,0.0,0.0,0.019178082191780823,0.0228310502283105,146
860,7524,176,173,0.022993088782562468,0.022748762178548265,0.1421389661275966,0.8869702401071115,0.9651471600730266,0.0,0.05555555555555555,0.03287671232876712,0.0228310502283105,34
861,7524,151,151,0.020069112174375334,0.022748762178548265,-1.55890793273912,0.11901817251870783,0.880188878066903,0.0,0.022222222222222223,0.019178082191780823,0.021004566210045664,56
862,7524,165,165,0.021929824561403508,0.022748762178548265,-0.47642354255121083,0.6337726656374918,0.9444399839638302,0.06666666666666667,0.022222222222222223,0.024657534246575342,0.025570776255707764,8
863,7524,167,166,0.022062732589048378,0.022748762178548265,-0.3991032289663599,0.6898171431586075,0.9444399839638302,0.03333333333333333,0.03333333333333333,0.0136986301369863,0.019178082191780823,5
864,7524,168,166,0.022062732589048378,0.022748762178548265,-0.3991032289663599,0.6898171431586075,0.9444399839638302,0.0,0.0,0.00821917808219178,0.017351598173515982,92
865,7524,170,168,0.022328548644338118,0.022748762178548265,-0.24446260179665805,0.8068725628456673,0.9619235119402324,0.0,0.011111111111111112,0.0136986301369863,0.02009132420091324,75
866,7524,200,200,0.02658160552897395,0.022748762178548265,2.229787432918566,0.02576155809197476,0.6779357392624937,0.03333333333333333,0.03333333333333333,0.021917808219178082,0.025570776255707764,20
867,7524,184,182,0.024189261031366295,0.022748762178548265,0.838021788391253,0.40201846661263324,0.9157596050401668,0.1,0.03333333333333333,0.021917808219178082,0.03287671232876712,22
868,7524,180,179,0.023790536948431685,0.022748762178548265,0.6060608476367002,0.5444743485521575,0.9371331300381368,0.03333333333333333,0.011111111111111112,0.010958904109589041,0.02009132420091324,18
869,7524,174,172,0.022860180754917598,0.022748762178548265,0.06481865254274569,0.9483183900985951,0.9786567493277555,0.03333333333333333,0.03333333333333333,0.03287671232876712,0.0273972602739726,11
870,7524,170,170,0.022594364699627858,0.022748762178548265,-0.08982197462695618,0.928428685545224,0.9786567493277555,0.0,0.0,0.01643835616438356,0.014611872146118721,93
871,7524,164,163,0.02166400850611377,0.022748762178548265,-0.6310641697209107,0.5279985676852266,0.9371331300381368,0.03333333333333333,0.022222222222222223,0.024657534246575342,0.030136986301369864,22
872,7524,185,184,0.024455077086656035,0.022748762178548265,0.9926624155609549,0.32087449673070356,0.9157596050401668,0.03333333333333333,0.044444444444444446,0.021917808219178082,0.021917808219178082,5
873,7524,166,165,0.021929824561403508,0.022748762178548265,-0.47642354255121083,0.6337726656374918,0.9444399839638302,0.0,0.0,0.010958904109589041,0.021917808219178082,181
874,7524,164,160,0.02126528442317916,0.022748762178548265,-0.8630251104754635,0.3881236610153489,0.9157596050401668,0.03333333333333333,0.011111111111111112,0.0136986301369863,0.0136986301369863,20
875,7524,166,165,0.021929824561403508,0.022748762178548265,-0.47642354255121083,0.6337726656374918,0.9444399839638302,0.0,0.03333333333333333,0.0273972602739726,0.0319634703196347,55
876,7524,184,180,0.023923444976076555,0.022748762178548265,0.6833811612215511,0.49436602094040333,0.9362992820840972,0.0,0.011111111111111112,0.024657534246575342,0.024657534246575342,88
877,7524,161,159,0.02113237639553429,0.022748762178548265,-0.9403454240603144,0.34704040673140024,0.9157596050401668,0.03333333333333333,0.03333333333333333,0.024657534246575342,0.026484018264840183,12
878,7524,195,195,0.025917065390749602,0.022748762178548265,1.8431858649943131,0.06530187795208853,0.880188878066903,0.0,0.011111111111111112,0.0273972602739726,0.034703196347031964,71
879,7524,178,175,0.023258904837852205,0.022748762178548265,0.2967795932972965,0.7666347861238751,0.9488054283711327,0.0,0.03333333333333333,0.030136986301369864,0.0273972602739726,31
880,7524,164,162,0.0215311004784689,0.022748762178548265,-0.7083844833057616,0.4787065256457201,0.9362992820840972,0.0,0.022222222222222223,0.019178082191780823,0.0228310502283105,39
881,7524,156,154,0.02046783625730994,0.022748762178548265,-1.3269469919845691,0.18452621807870678,0.9058011387787752,0.06666666666666667,0.03333333333333333,0.0136986301369863,0.0182648401826484,22
