date,pick1,prob1,pick1_count,pick1_hit,pick2,prob2,pick2_count,pick2_hit,pick3,prob3,pick3_count,pick3_hit,top1_hit,top2_any_hit,top3_any_hit,picked_hit_count,actual_unique_suffixes,candidate
2025-10-10,51,0.26651791314206075,0,0,28,0.26141626215360275,0,0,50,0.2609336948345852,0,0,0,0,0,0,00 01 05 18 21 25 33 34 40 41 42 46 49 58 68 70 71 78 80 88 90 95 99,long_l10_lr010
2025-10-11,51,0.2661899627913268,0,0,28,0.2611278897253867,0,0,50,0.26064904727250743,0,0,0,0,0,0,01 03 05 06 09 13 22 25 38 43 46 55 60 64 67 69 72 73 79 81 84 93,long_l10_lr010
2025-10-12,51,0.26429703909506114,0,0,28,0.2595410663314712,1,1,50,0.25909102705378617,0,0,0,1,1,1,02 05 07 12 20 28 32 36 42 44 45 46 52 54 57 62 66 73 81 90 93,long_l10_lr010
2025-10-13,51,0.2609201675590432,0,0,28,0.25651956316146607,0,0,50,0.25632069497036186,0,0,0,0,0,0,00 03 08 09 13 19 22 25 29 34 39 42 47 60 62 65 66 67 72 75 77 81 87 88,long_l10_lr010
2025-10-14,51,0.2593527831401155,0,0,28,0.25527861023120313,1,1,50,0.25509442342846395,0,0,0,1,1,1,04 05 11 15 21 24 28 29 32 33 35 38 39 40 45 47 62 63 75 76 82 89 90 91 93 97,long_l10_lr010
2025-10-15,51,0.2592630280263792,0,0,28,0.25511285222617947,1,1,50,0.25511285222617947,0,0,0,1,1,1,07 08 13 19 23 25 28 36 37 42 45 55 60 61 68 70 71 73 75 77 85 87 93,long_l10_lr010
2025-10-16,51,0.26047626820756076,0,0,50,0.25604929930299286,0,0,28,0.2558579458824683,2,1,0,0,1,1,02 03 06 10 12 15 18 27 28 31 34 46 52 56 58 62 66 69 83 91 99,long_l10_lr010
2025-10-17,51,0.2625009512494741,0,0,50,0.2575539357442157,1,1,28,0.25712665008040775,1,1,0,1,1,2,00 02 04 05 23 28 30 34 35 44 47 48 49 50 59 60 63 66 73 79 81 83 87 94 95,long_l10_lr010
2025-10-18,51,0.26354539183635445,1,1,50,0.2582149657639962,1,1,28,0.25777395026820127,0,0,1,1,1,2,02 06 07 23 25 27 34 35 41 45 50 51 56 58 62 66 67 68 72 76 79 89 90 91,long_l10_lr010
2025-10-19,51,0.26665175507317396,0,0,50,0.26061289575196606,1,1,28,0.26036320762126114,1,1,0,1,1,2,02 07 11 12 18 22 26 27 28 38 41 47 48 49 50 53 55 60 64 66 69 70 76 77 78 80,long_l10_lr010
2025-10-20,51,0.2680186478785982,0,0,50,0.26152036943551676,2,1,28,0.2612625656401688,0,0,0,1,1,1,00 01 05 07 08 14 22 50 52 59 61 64 68 71 72 74 80 84 89 90 95 96 97,long_l10_lr010
2025-10-21,51,0.26645598934278836,0,0,28,0.2600439981835701,1,1,50,0.2600439981835701,0,0,0,1,1,1,03 04 08 15 16 28 38 41 42 43 45 49 57 60 67 70 72 76 79 80 81 91 97,long_l10_lr010
2025-10-22,51,0.2656275305390679,1,1,50,0.2593856381311319,1,1,28,0.25914747815104083,0,0,1,1,1,2,00 01 05 07 12 15 33 38 45 46 47 48 50 51 58 65 69 74 78 86 89 90 97,long_l10_lr010
2025-10-23,51,0.27008000404565513,1,1,28,0.26270106268363724,1,1,50,0.26270106268363724,0,0,1,1,1,2,02 05 15 17 25 26 28 29 49 51 52 53 57 64 69 71 73 78 79 83 86 88 92 99,long_l10_lr010
2025-10-24,51,0.2711147693744639,0,0,50,0.2637372652491152,0,0,28,0.26344486000096184,0,0,0,0,0,0,01 06 16 19 23 24 25 27 39 40 42 44 61 64 66 68 72 79 82 84 85 87 96,long_l10_lr010
2025-10-25,51,0.2681442188954451,0,0,50,0.26143012935617355,0,0,28,0.26116383666421744,0,0,0,0,0,0,06 13 17 19 22 33 39 42 43 52 58 62 64 65 73 74 76 83 84 87 92 93 94 99,long_l10_lr010
2025-10-26,51,0.2660853558336557,1,1,50,0.2598633140536659,0,0,28,0.2596164058664758,0,0,1,1,1,1,06 10 15 16 20 27 30 38 46 49 51 54 57 68 69 75 83 87 88 91 95 99,long_l10_lr010
2025-10-27,51,0.26590723038539726,0,0,50,0.2598578576956888,0,0,28,0.2596077478983512,1,1,0,0,1,1,01 02 11 22 23 26 27 28 35 36 46 49 54 58 66 68 71 72 82 83 88 91 92 93 97 99,long_l10_lr010
2025-10-28,51,0.2643141402129909,0,0,50,0.258716333441528,0,0,28,0.25825334949344564,1,1,0,0,1,1,01 03 05 08 12 16 23 25 27 28 32 33 34 38 44 48 57 63 67 68 69 71 73 74 76 98,long_l10_lr010
2025-10-29,51,0.2656216378000338,0,0,50,0.25983433798077843,0,0,28,0.25911670722839253,0,0,0,0,0,0,05 09 12 13 16 22 24 27 30 31 35 37 49 55 56 63 64 65 73 79 90 93 94 97 98,long_l10_lr010
2025-10-30,51,0.2644483298844531,0,0,50,0.25897463111470403,2,1,28,0.25829562521356403,0,0,0,1,1,1,00 01 10 12 14 17 19 24 30 34 37 42 49 50 53 56 57 58 65 72 74 76 88 92 93,long_l10_lr010
2025-10-31,51,0.2636403435004065,0,0,50,0.25818092991888025,0,0,28,0.2577473754769291,0,0,0,0,0,0,01 08 13 14 16 18 21 33 34 36 41 42 46 49 64 69 74 75 77 79 80 84 87 96 99,long_l10_lr010
2025-11-01,51,0.2655435193655924,0,0,50,0.25970800711462555,0,0,28,0.25924477983404953,0,0,0,0,0,0,04 12 16 19 21 25 26 35 43 46 48 53 56 57 61 62 64 71 72 74 82 84 86 92,long_l10_lr010
2025-11-02,51,0.26356229664155784,0,0,50,0.25818953732972655,0,0,28,0.257762815117216,0,0,0,0,0,0,06 11 13 16 21 22 31 32 39 42 49 58 62 67 69 72 75 77 80 84 86 92,long_l10_lr010
2025-11-03,51,0.26290033915501065,0,0,50,0.2576077562322126,0,0,28,0.2571873686798067,0,0,0,0,0,0,02 18 22 23 27 30 34 35 44 47 49 53 60 61 62 63 64 66 70 71 82 88 90 94 95,long_l10_lr010
2025-11-04,51,0.260246441891866,0,0,50,0.2556051145458816,0,0,28,0.25523616576685,0,0,0,0,0,0,04 12 13 15 20 25 26 33 36 39 42 47 62 63 66 77 78 80 86 88 90 91 93,long_l10_lr010
2025-11-05,51,0.25839152516811664,1,1,50,0.2541359113949609,0,0,28,0.25379746588692437,0,0,1,1,1,1,04 09 14 22 23 24 26 29 30 39 43 51 54 64 71 73 74 78 80 83 90 95 96 98,long_l10_lr010
2025-11-06,51,0.25778883419621534,0,0,50,0.2538092377678371,0,0,28,0.25347944099883657,0,0,0,0,0,0,01 02 06 08 13 19 22 27 35 38 42 45 49 53 67 68 71 76 80 85 88 89 99,long_l10_lr010
2025-11-07,51,0.2568130885869795,0,0,50,0.2530154756268645,0,0,28,0.25270068979884036,0,0,0,0,0,0,00 01 09 12 14 22 23 24 27 33 35 36 41 52 53 57 58 59 69 70 73 78 81 86 92,long_l10_lr010
2025-11-08,51,0.2539469968619361,0,0,50,0.25081180359554506,0,0,28,0.25055170306016017,0,0,0,0,0,0,03 14 19 20 25 30 32 33 35 38 41 46 48 52 54 56 59 62 76 77 83 86 87 89 91 97,long_l10_lr010
2025-11-09,51,0.25230846592182915,0,0,50,0.24960766762650582,0,0,28,0.2493834741619489,1,1,0,0,1,1,02 11 14 18 21 28 31 33 36 47 62 69 70 71 77 79 83 84 86 88 90 92 95 97,long_l10_lr010
2025-11-10,51,0.2518146302042404,0,0,50,0.2492256375146515,0,0,28,0.2489032667866205,0,0,0,0,0,0,05 10 11 14 19 27 35 40 41 42 44 45 53 65 71 74 75 85 87 88 89 92 95 97,long_l10_lr010
2025-11-11,51,0.25224320153118907,0,0,50,0.24957133699049006,0,0,28,0.24923868540440292,0,0,0,0,0,0,01 02 04 08 11 13 18 24 25 44 47 53 57 61 62 63 72 76 81 83 92 97,long_l10_lr010
2025-11-12,51,0.2486665344672905,0,0,50,0.24667521030522188,0,0,28,0.2464270503261343,0,0,0,0,0,0,04 05 09 10 11 13 36 44 54 57 60 64 70 71 73 74 75 78 82 86 88 93 97,long_l10_lr010
2025-11-13,51,0.24431715100688808,0,0,50,0.24319824872109927,1,1,28,0.243058630724635,0,0,0,1,1,1,02 03 04 09 16 17 20 42 46 50 55 66 68 72 73 77 83 88 89 90 94,long_l10_lr010
2025-11-14,51,0.2446833757907214,0,0,50,0.24332864100870644,0,0,28,0.24322048234765917,0,0,0,0,0,0,01 03 13 15 18 20 32 35 47 48 49 57 60 61 63 84 85 87 88 92 94 95 98 99,long_l10_lr010
2025-11-15,51,0.24432919705367315,0,0,50,0.2430595457148936,0,0,28,0.24295816734721593,0,0,0,0,0,0,09 10 17 30 35 40 43 46 53 60 65 66 74 75 78 79 81 84 88 95 98 99,long_l10_lr010
2025-11-16,51,0.2440605083097747,0,0,50,0.24277939988466635,0,0,28,0.24267710882453028,0,0,0,0,0,0,00 02 04 05 06 08 12 13 21 26 27 29 33 41 44 55 64 65 66 73 74 79 83 88 96 97,long_l10_lr010
2025-11-17,51,0.24289798479186986,1,1,50,0.24195248730401198,0,0,28,0.24187695585284347,0,0,1,1,1,1,00 12 24 26 29 30 34 36 51 53 55 63 64 67 70 75 77 79 82 83 87,long_l10_lr010
2025-11-18,51,0.24229866028063737,0,0,50,0.24140211807825887,0,0,28,0.2413275084096108,0,0,0,0,0,0,12 13 26 29 34 36 37 41 43 44 47 48 52 53 55 72 75 78 84 87 89 95 96,long_l10_lr010
2025-11-19,51,0.23977935759426255,1,1,50,0.23937130062194298,0,0,28,0.23933731736443492,0,0,1,1,1,1,00 03 16 18 24 27 29 30 34 38 41 42 49 51 60 61 67 70 71 83 87 90 94 95,long_l10_lr010
2025-11-20,51,0.24021556834127086,0,0,50,0.23974384574144827,2,1,28,0.23970285637209118,0,0,0,1,1,1,01 05 07 19 21 26 31 32 33 36 37 41 45 46 49 50 59 65 73 74 78 83 93,long_l10_lr010
2025-11-21,51,0.24107492018089088,0,0,50,0.24037776417628398,0,0,28,0.24034874593688652,0,0,0,0,0,0,04 15 20 25 27 30 32 33 38 42 43 54 59 69 72 75 83 84 91 93 96,long_l10_lr010
2025-11-22,51,0.23896413792630922,0,0,50,0.2385985011207379,0,0,28,0.2385832745933234,0,0,0,0,0,0,03 04 14 21 24 25 29 35 40 48 49 53 54 58 65 67 70 78 81 85 93 95 97,long_l10_lr010
2025-11-23,51,0.237289259207196,0,0,50,0.23723949478534107,0,0,28,0.23723742142381646,0,0,0,0,0,0,03 04 08 12 15 18 21 23 24 26 27 38 41 44 46 52 59 61 63 75 79 86 89 92 99,long_l10_lr010
2025-11-24,38,0.23983099287958717,0,0,62,0.2393004407880159,2,1,36,0.23906489823742771,0,0,0,1,1,1,08 10 11 17 28 31 33 39 47 51 53 58 60 62 64 72 74 77 89 92 94 95,long_l10_lr010
2025-11-25,38,0.23716843797355117,2,1,62,0.23712885615713244,0,0,36,0.23710790292101772,0,0,1,1,1,1,08 09 12 14 16 17 24 29 33 34 38 40 41 43 47 48 54 61 64 66 68 83 88 89 96 97,long_l10_lr010
2025-11-26,38,0.2397541208093488,0,0,62,0.23926432237130643,0,0,36,0.23901968051254643,0,0,0,0,0,0,07 21 26 40 42 46 54 56 60 61 65 68 76 79 81 82 86 89 90 91 92 93 94 97,long_l10_lr010
2025-11-27,38,0.2390658428862087,0,0,62,0.23872746113242233,0,0,36,0.2385583935889416,0,0,0,0,0,0,00 16 17 24 27 28 32 35 42 43 48 52 57 58 60 61 65 73 74 82 87 90 93 94 97,long_l10_lr010
2025-11-28,51,0.23776907687294258,1,1,50,0.23774766230542738,1,1,28,0.23774486919881252,0,0,1,1,1,2,00 09 10 32 34 40 43 46 50 51 61 66 69 71 72 73 75 76 85 91 92 93 94 98,long_l10_lr010
2025-11-29,51,0.23886497301506923,0,0,50,0.23863666089230806,0,0,28,0.23861681474653687,0,0,0,0,0,0,03 07 08 12 14 16 18 24 25 30 31 34 38 43 46 58 68 72 76 80 88 90,long_l10_lr010
2025-11-30,38,0.2379015167601258,1,1,62,0.23778824664437034,1,1,66,0.23774056506633592,0,0,1,1,1,2,05 06 07 14 18 21 23 25 36 38 42 47 49 51 54 55 60 62 63 64 70 74 76 78 88 90 95,long_l10_lr010
2025-12-01,38,0.24008242518045783,0,0,62,0.23962647883130866,0,0,36,0.23941071133349215,0,0,0,0,0,0,06 12 14 15 16 22 27 29 35 37 43 59 60 63 64 72 78 81 84 91 92 98,long_l10_lr010
2025-12-02,38,0.24017926530565092,0,0,62,0.2396303318907436,0,0,36,0.2393706108778604,0,0,0,0,0,0,06 09 11 14 19 24 25 28 32 39 44 51 60 61 70 71 72 73 75 81 83 85 86 87 91,long_l10_lr010
2025-12-03,38,0.2388808188967643,2,1,62,0.23866164795395914,0,0,36,0.23855787833511713,0,0,1,1,1,1,02 12 16 17 18 24 27 29 32 35 37 38 41 42 44 47 52 54 60 64 66 69 93,long_l10_lr010
2025-12-04,38,0.24074373209359942,0,0,62,0.24005949302554483,0,0,66,0.23978617019682918,0,0,0,0,0,0,05 10 11 12 23 26 28 29 34 35 36 37 41 47 51 61 65 67 70 76 81 85 92 99,long_l10_lr010
